model_family,outer_fold,inner_best_score,outer_test_f1,gap,abs_gap,best_params
Random Forest,1,0.499601712682127,0.497737556561086,0.0018641561210410162,0.0018641561210410162,"{""max_depth"": 5, ""min_samples_split"": 10, ""n_estimators"": 200}"
Random Forest,2,0.5006648523089569,0.47641509433962265,0.024249757969334207,0.024249757969334207,"{""max_depth"": 5, ""min_samples_split"": 10, ""n_estimators"": 50}"
Random Forest,3,0.5031001648033302,0.4439359267734554,0.059164238029874805,0.059164238029874805,"{""max_depth"": 3, ""min_samples_split"": 2, ""n_estimators"": 100}"
Random Forest,4,0.49958658997995703,0.4988558352402746,0.0007307547396824265,0.0007307547396824265,"{""max_depth"": 5, ""min_samples_split"": 5, ""n_estimators"": 50}"
Random Forest,5,0.49053590746436376,0.5133928571428571,-0.022856949678493332,0.022856949678493332,"{""max_depth"": 5, ""min_samples_split"": 2, ""n_estimators"": 200}"
Decision Tree,1,0.459919941561744,0.4860215053763441,-0.026101563814600104,0.026101563814600104,"{""max_depth"": 5, ""min_samples_split"": 10}"
Decision Tree,2,0.4889188706948163,0.45701357466063347,0.03190529603418285,0.03190529603418285,"{""max_depth"": 3, ""min_samples_split"": 2}"
Decision Tree,3,0.4889495622583316,0.4339622641509434,0.05498729810738817,0.05498729810738817,"{""max_depth"": 3, ""min_samples_split"": 2}"
Decision Tree,4,0.4751932257711527,0.48036951501154734,-0.005176289240394649,0.005176289240394649,"{""max_depth"": 3, ""min_samples_split"": 2}"
Decision Tree,5,0.46897944830545024,0.4573804573804574,0.011598990924992836,0.011598990924992836,"{""max_depth"": 3, ""min_samples_split"": 2}"
