threshold,precision,recall,f1,predicted_positive_count
0.05,0.16411256617442185,1.0,0.28195308760172333,3589
0.06,0.1654494382022472,1.0,0.2839238370691733,3560
0.07,0.16661951909476663,1.0,0.28564500484966054,3535
0.08,0.16823764638674665,1.0,0.28801955990220046,3501
0.09,0.1700404858299595,0.99830220713073,0.29058561897702,3458
0.1,0.17158725518854137,0.9966044142614601,0.29276807980049874,3421
0.11,0.1738744075829384,0.9966044142614601,0.2960907944514502,3376
0.12,0.17643522693116923,0.9966044142614601,0.2997957099080695,3327
0.13,0.17814871016691958,0.9966044142614601,0.3022657054582904,3295
0.14,0.18055982774530913,0.9966044142614601,0.30572916666666666,3251
0.15,0.18321327904791732,0.9932088285229203,0.3093601269169751,3193
0.16,0.1872,0.9932088285229203,0.3150242326332795,3125
0.17,0.19123896698267406,0.9932088285229203,0.3207236842105263,3059
0.18,0.195,0.9932088285229203,0.3259960991919755,3000
0.19,0.19924940293415216,0.9915110356536503,0.33181818181818185,2931
0.2,0.20456140350877192,0.9898132427843803,0.3390520500145391,2850
0.21,0.20861759425493717,0.9864176570458404,0.34439834024896265,2785
0.22,0.2127894156560088,0.9830220713073005,0.34984894259818733,2721
0.23,0.2173749529898458,0.9813242784380306,0.35591133004926107,2659
0.24,0.22226502311248075,0.9796264855687606,0.36232339089481946,2596
0.25,0.22576832151300236,0.9728353140916808,0.36648544931244004,2538
0.26,0.23080048760666397,0.9643463497453311,0.37245901639344264,2461
0.27,0.2357824823578248,0.9643463497453311,0.3789192795196798,2409
0.28,0.24073285044737963,0.9592529711375212,0.3848773841961853,2347
0.29,0.24625550660792953,0.9490662139219015,0.391045820216859,2270
0.3,0.2520510483135825,0.9388794567062818,0.39741286381602586,2194
0.31,0.2599243856332703,0.933786078098472,0.4066543438077634,2116
0.32,0.267384916748286,0.9269949066213922,0.4150513112884835,2042
0.33,0.27452974072191155,0.9168081494057725,0.4225352112676056,1967
0.34,0.28205128205128205,0.9151103565365025,0.4312,1911
0.35,0.29141607435757244,0.9049235993208828,0.44086021505376344,1829
0.36,0.29806598407281,0.8896434634974533,0.4465274818917767,1758
0.37,0.3068720379146919,0.8794567062818336,0.4549846288976724,1688
0.38,0.3154320987654321,0.8675721561969439,0.4626527840651879,1620
0.39,0.32251908396946566,0.8607809847198642,0.46922720962517356,1572
